Year,Organization
2021,52°North GmbH
2021,AboutCode
2021,Accord Project
2021,AerospaceResearch.net
2021,AFLplusplus
2021,Android Graphics Tools Team
2021,AnkiDroid
2021,AOSSIE
2021,Apertium
2021,apertus° Association
2021,ArduPilot
2021,Audacity
2021,BeagleBoard.org Foundation
2021,Bench-Routes
2021,Blender Foundation
2021,Boost C++ Libraries
2021,BRL-CAD
2021,caMicroscope
2021,Casbin
2021,CASTOR
2021,CCExtractor Development
2021,"Center for Research in Open Source Software, UC Santa Cruz"
2021,Ceph
2021,CERN-HSF
2021,CGAL Project
2021,CHAOSS Project
2021,Chapel
2021,Checkstyle
2021,Chromium
2021,Cilium
2021,CircuitVerse.org
2021,CiviCRM LLC
2021,CloudCV
2021,CNCF
2021,coala
2021,Continuous Delivery Foundation
2021,CRIU
2021,Cuneiform Digital Library Initiative (CDLI)
2021,Dart
2021,DBpedia
2021,Debian
2021,DeepPavlov
2021,"Department of Biomedical Informatics (BMI), Emory University School of Medicine"
2021,Digital Impact Alliance (DIAL) at UN Foundation
2021,Django Software Foundation
2021,Elm Tooling
2021,FFmpeg
2021,Fortran-lang
2021,FOSSology
2021,FrameNet Brasil (UFJF)
2021,Free and Open Source Silicon Foundation
2021,FreeBSD Project
2021,FreeType
2021,freifunk
2021,FRRouting
2021,Genome Assembly and Annotation
2021,Gentoo Foundation
2021,GeomScale
2021,GFOSS - Open Technology Alliance
2021,Git
2021,GitLab
2021,Global Alliance for Genomics and Health
2021,GNOME Foundation
2021,GNSS-SDR
2021,GNU Compiler Collection (GCC)
2021,GNU Mailman Project
2021,GNU Octave
2021,GNU Radio
2021,Godot Engine
2021,Google FHIR SDK
2021,gprMax
2021,GRR Rapid Response
2021,gVisor
2021,Haiku
2021,Halide
2021,Haskell.org
2021,Hydra Ecosystem
2021,INCF
2021,Inkscape
2021,Integrated Ocean Observing System (IOOS)
2021,Intel Video and Audio for Linux
2021,International Catrobat Association
2021,Internet Archive
2021,JabRef e.V.
2021,Java PathFinder
2021,JBoss Community
2021,JdeRobot - Universidad Rey Juan Carlos
2021,Joomla!
2021,Joplin
2021,KDE Community
2021,Kiwix
2021,Kodi
2021,LabLua
2021,Learning Equality
2021,libcamera
2021,Libre Space Foundation
2021,LibreCube Initiative
2021,LibreHealth
2021,LibreOffice
2021,libvirt
2021,Liquid Galaxy project
2021,Machine Learning for Science (ML4SCI) Umbrella Organization
2021,MapAction
2021,MariaDB Foundation
2021,Matrix.org
2021,Mayor's Office of New Urban Mechanics (City of Boston)
2021,MBDyn
2021,MDAnalysis
2021,Media Cloud
2021,MediaPipe
2021,MetaBrainz Foundation Inc
2021,MetaCall
2021,Metasploit
2021,MGGG Redistricting Lab
2021,MIT App Inventor
2021,mlpack
2021,MoveIt
2021,MuseScore
2021,mypy
2021,National Resource for Network Biology (NRNB)
2021,Navidrome
2021,NumFOCUS
2021,Open Bioinformatics Foundation
2021,Open Chemistry
2021,Open Genome Informatics
2021,Open Roberta
2021,Open Robotics
2021,openastronomy
2021,OpenCV
2021,OpenMined
2021,OpenMRS
2021,OpenStreetMap
2021,openSUSE Project
2021,OpenWISP
2021,Oppia Foundation
2021,Orcasound
2021,OSGeo - Open Source Geospatial Foundation
2021,OWASP Foundation
2021,PEcAn Project
2021,Pharo Consortium
2021,Pidgin Instant Messenger
2021,Pitivi
2021,Plan 9 Foundation
2021,Point Cloud Library
2021,Polypheny
2021,PostgreSQL
2021,Postman
2021,Processing Foundation
2021,Project WikiLoop
2021,Public Lab
2021,Purr Data
2021,Python Software Foundation
2021,QEMU
2021,Qubes OS
2021,React Native Elements
2021,ReactOS
2021,Red Hen Lab
2021,Rizin
2021,RoboComp
2021,Rocket.Chat
2021,RTEMS Project
2021,Ruby
2021,SageMath
2021,Samba
2021,Scala Center
2021,SCoRe Lab
2021,ScummVM
2021,Shaka Player
2021,Software Heritage
2021,SPDX
2021,STE||AR Group
2021,strace
2021,Sugar Labs
2021,Swift
2021,SymbiFlow
2021,SymPy
2021,Synfig
2021,syslog-ng
2021,Tarantool
2021,TARDIS SN
2021,TensorFlow
2021,The Apache Software Foundation
2021,The ENIGMA Team
2021,The Honeynet Project
2021,The Julia Language
2021,The Libreswan Project
2021,The Linux Foundation
2021,The LLVM Compiler Infrastructure
2021,The NetBSD Foundation
2021,The ns-3 Network Simulator Project
2021,The Palisadoes Foundation
2021,The R Project for Statistical Computing
2021,The Terasology Foundation
2021,TianoCore
2021,VideoLAN
2021,vitrivr
2021,Wikimedia Foundation
2021,Xfce
2021,Xiph.Org Foundation
2021,xrdesktop
2021,XWiki
2021,Zulip
