Year,Organization
2022,52°North Spatial Information Research GmbH
2022,AboutCode
2022,Academy Software Foundation
2022,AFLplusplus
2022,AnkiDroid
2022,AOSSIE
2022,Apache Software Foundation
2022,Apertus Association
2022,ArduPilot
2022,Audacity
2022,BeagleBoard.org
2022,Blender Foundation
2022,BRL-CAD
2022,Casbin
2022,cBioPortal for Cancer Genomics
2022,CCExtractor Development
2022,Center for Translational Data Science
2022,Ceph
2022,CERN-HSF
2022,CGAL Project
2022,CHAOSS
2022,checkstyle
2022,CHIPS Alliance
2022,Chromium
2022,CircuitVerse.org
2022,CNCF
2022,coreboot
2022,CRIU
2022,Cuneiform Digital Library Initiative (CDLI)
2022,Dart
2022,DBpedia
2022,Debian
2022,"Department of Biomedical Informatics, Emory University"
2022,Django Software Foundation
2022,Drupal Association
2022,Eclipse Foundation
2022,Electron
2022,FFmpeg
2022,Flashrom
2022,Forschungszentrum Jülich
2022,Fortran-lang
2022,FOSSology
2022,Free and Open Source Silicon Foundation
2022,FreeType
2022,freifunk
2022,FRRouting
2022,Genome Assembly and Annotation
2022,Gentoo Foundation
2022,GeomScale
2022,Git
2022,GitLab
2022,Global Alliance for Genomics and Health
2022,GNOME Foundation
2022,GNSS-SDR
2022,GNU Compiler Collection (GCC)
2022,GNU Image Manipulation Program
2022,GNU Octave
2022,GNU Radio
2022,Godot Engine
2022,GRAME
2022,Haiku
2022,Haskell.org
2022,Homebrew
2022,INCF
2022,Inkscape
2022,Intel Video and Audio for Linux
2022,International Catrobat Association
2022,Internet Health Report
2022,IOOS
2022,JabRef e.V.
2022,JBoss Community
2022,JdeRobot
2022,Jenkins
2022,Jenkins X
2022,Jitsi
2022,Joomla!
2022,Joplin
2022,Kart Project
2022,KDE Community
2022,Keptn
2022,Kodi
2022,LEAP Encryption Access Project
2022,Learning Equality
2022,libcamera
2022,LibreCube Initiative
2022,LibreHealth
2022,LibreOffice
2022,libssh
2022,libvirt
2022,Liquid Galaxy project
2022,LLVM Compiler Infrastructure
2022,Machine Learning for Science (ML4SCI)
2022,MariaDB
2022,Mathesar
2022,Matrix.org
2022,Mayor's Office of New Urban Mechanics
2022,MBDyn
2022,MDAnalysis
2022,MetaBrainz Foundation Inc
2022,MetaCall
2022,Metasploit
2022,Micro Electronics Research Lab - UITU
2022,MIT App Inventor
2022,Mixxx
2022,mlpack
2022,moja global
2022,Monado
2022,MoveIt
2022,MuseScore
2022,MZmine
2022,National Resource for Network Biology (NRNB)
2022,Neutralinojs
2022,NumFOCUS
2022,omegaUp
2022,Open Bioinformatics Foundation (OBF)
2022,Open Chemistry
2022,Open Food Facts
2022,Open Genome Informatics
2022,Open Robotics
2022,Open Technologies Alliance - GFOSS
2022,Open3D team
2022,OpenAFS
2022,OpenAstronomy
2022,OpenCV
2022,OpenMRS
2022,OpenStreetMap
2022,openSUSE Project
2022,OpenVINO Toolkit
2022,OpenWISP
2022,Oppia Foundation
2022,Orcasound
2022,Organic Maps
2022,OSGeo (Open Source Geospatial Foundation)
2022,Our World In Data
2022,OWASP Foundation
2022,PEcAn Project
2022,Performance Co-Pilot
2022,Plone Foundation
2022,Polypheny
2022,PostgreSQL
2022,PowerDNS
2022,Processing Foundation
2022,Public Lab
2022,Purr Data
2022,Python Software Foundation
2022,QEMU
2022,R project for statistical computing
2022,RADAR-base
2022,ReactOS Foundation
2022,Red Hen Lab
2022,Responsible AI and Human Centred Technology
2022,Rizin
2022,RoboComp
2022,Robolectric
2022,rocket.chat
2022,RTEMS Project
2022,Ruby
2022,SageMath
2022,Scala Center
2022,SCoRe Lab
2022,ScummVM
2022,SeaQL
2022,sktime
2022,Society for Arts and Technology (SAT)
2022,Software Heritage
2022,SPDX
2022,Ste||ar group
2022,strace
2022,Submitty
2022,Sugar Labs
2022,Swift
2022,SymPy
2022,Synfig
2022,syslog-ng
2022,Tarantool
2022,TARDIS RT Collaboration
2022,TensorFlow
2022,The ENIGMA Team
2022,The FreeBSD Project
2022,The Honeynet Project
2022,The JPF team
2022,The Julia Language
2022,The Libreswan Project
2022,The Linux Foundation
2022,The Mifos Initiative
2022,The NetBSD Foundation
2022,The ns-3 Network Simulator Project
2022,The Palisadoes Foundation
2022,The Tor Project
2022,TianoCore
2022,UC OSPO
2022,Unikraft
2022,VideoLAN
2022,Wagtail
2022,Weaviate
2022,Wellcome Sanger Tree of Life
2022,Wikimedia Foundation
2022,X.Org Foundation
2022,Xfce
2022,XMPP Standards Foundation
2022,XWiki
2022,Zulip
2022,XWiki
2022,Zulip
